Date,Type,Source,Description,Amount,Project/Investor
2025-03-16,Project,Client K,Milestone payment from Client K,231332.98,Project Gamma
2025-03-24,Investor,Accel Partners,Funding from Accel Partners,1647168.42,Round 4
2025-02-14,Investor,SoftBank,Funding from SoftBank,1964193.96,Round 3
2025-02-16,Project,Client H,Milestone payment from Client H,61778.86,Project Gamma
2025-04-23,Project,Client S,Milestone payment from Client S,324912.4,Project Beta
2025-04-09,Investor,Accel Partners,Funding from Accel Partners,733687.12,Round 3
2025-06-24,Investor,Matrix Partners,Funding from Matrix Partners,1934713.11,Round 3
2025-03-02,Project,Client W,Milestone payment from Client W,173974.88,Project Gamma
2025-02-20,Project,Client G,Milestone payment from Client G,128950.07,Project Beta
2025-05-14,Project,Client R,Milestone payment from Client R,482045.53,Project Alpha
2025-03-13,Investor,Tiger Global,Funding from Tiger Global,113082.83,Round 2
2025-05-28,Investor,SoftBank,Funding from SoftBank,1789481.05,Round 5
2025-03-31,Investor,Tiger Global,Funding from Tiger Global,1654620.23,Round 5
2025-04-25,Project,Client R,Milestone payment from Client R,132089.7,Project Beta
2025-03-16,Project,Client T,Milestone payment from Client T,473674.75,Project Gamma
2025-01-27,Project,Client P,Milestone payment from Client P,479275.6,Project Beta
2025-02-04,Investor,Sequoia Capital,Funding from Sequoia Capital,580099.23,Round 2
2025-05-27,Investor,Sequoia Capital,Funding from Sequoia Capital,1745138.97,Round 2
2025-05-31,Project,Client S,Milestone payment from Client S,367464.51,Project Alpha
2025-04-11,Investor,Sequoia Capital,Funding from Sequoia Capital,200924.09,Round 2
2025-03-18,Investor,Matrix Partners,Funding from Matrix Partners,422207.42,Round 3
2025-03-15,Project,Client V,Milestone payment from Client V,494734.89,Project Gamma
2025-06-12,Investor,Tiger Global,Funding from Tiger Global,1466117.25,Round 2
2025-06-25,Project,Client E,Milestone payment from Client E,317794.66,Project Alpha
2025-02-24,Investor,SoftBank,Funding from SoftBank,1601119.47,Round 1
2025-04-17,Investor,Matrix Partners,Funding from Matrix Partners,1617287.25,Round 4
2025-01-28,Project,Client J,Milestone payment from Client J,167914.38,Project Gamma
2025-02-09,Investor,Tiger Global,Funding from Tiger Global,1862659.98,Round 5
2025-01-21,Project,Client I,Milestone payment from Client I,250960.42,Project Alpha
2025-03-20,Project,Client S,Milestone payment from Client S,239362.35,Project Gamma
2025-06-09,Project,Client Y,Milestone payment from Client Y,207259.18,Project Gamma
2025-04-06,Investor,SoftBank,Funding from SoftBank,1820040.27,Round 1
2025-01-16,Investor,Accel Partners,Funding from Accel Partners,904368.13,Round 1
2025-02-14,Investor,SoftBank,Funding from SoftBank,1460108.94,Round 4
2025-06-27,Investor,Accel Partners,Funding from Accel Partners,1801546.13,Round 5
2025-01-10,Project,Client Z,Milestone payment from Client Z,441559.06,Project Gamma
2025-06-16,Project,Client P,Milestone payment from Client P,120398.87,Project Alpha
2025-03-28,Investor,Matrix Partners,Funding from Matrix Partners,495859.3,Round 4
2025-05-04,Project,Client G,Milestone payment from Client G,301131.73,Project Alpha
2025-01-28,Investor,SoftBank,Funding from SoftBank,1635378.87,Round 3
2025-03-21,Investor,SoftBank,Funding from SoftBank,1347169.67,Round 2
2025-06-17,Investor,Accel Partners,Funding from Accel Partners,1789296.34,Round 3
2025-05-28,Project,Client J,Milestone payment from Client J,90350.79,Project Gamma
2025-01-12,Investor,Tiger Global,Funding from Tiger Global,1661480.68,Round 1
2025-05-23,Project,Client Z,Milestone payment from Client Z,221094.15,Project Gamma
2025-05-18,Investor,Sequoia Capital,Funding from Sequoia Capital,1073979.14,Round 4
2025-06-18,Project,Client K,Milestone payment from Client K,407355.46,Project Alpha
2025-04-19,Investor,Tiger Global,Funding from Tiger Global,1101561.87,Round 2
2025-04-08,Investor,Accel Partners,Funding from Accel Partners,1187976.55,Round 2
2025-05-30,Investor,Sequoia Capital,Funding from Sequoia Capital,1654444.66,Round 2
